职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
电话销售（急聘+高薪包吃住）,广州花正开企业管理有限公司,广州-白云区,0.6-1.5万/月,07-23,无工作经验,招5人,客户代表;电话销售;电话销售;直销销售;销售代表;招商顾问;招商客服;话务员;在线客服;销售顾问;网络在线销售;市场专员,07-23发布
无责底薪4000+五险+高提成网销(不加班）,陕西久业网络科技有限公司,西安,1-1.5万/月,07-23,无工作经验,招若干人,网络/在线销售;电话销售;渠道销售;电话销售;直销销售,07-23发布
会计助理/文员,广东汇创新能源有限公司,东莞-万江区,3-4.5千/月,07-23,1年经验,高中,财务助理/文员;财务,招1人
市场专员,武汉IT新时空教育中心,武汉-洪山区,6-8千/月,07-23,无工作经验,招2人,渠道/分销专员;销售代表;开拓渠道销售,07-23发布
销售储备干部,港中旅（广东）国际旅行社有限公司花地湾门市部,广州-荔湾区,4.5-6千/月,07-23,无工作经验,高中,旅游产品销售;销售;业务员;销售顾问;旅游;销售代表;大客户销售;储备干部;销售经理;旅游顾问,招5人
销售助理+包住,深圳市盈昌泰科技有限公司,深圳-宝安区,6-8千/月,07-23,无工作经验,招3人,销售助理;销售代表;销售;沙井;业务;文员;助理;跟单;商务,07-23发布
商务驾驶员,苏州恒睿环保科技有限公司,苏州-姑苏区,3-4.5千/月,07-23,2年经验,招1人,商务司机,07-23发布
MCN视频剪辑,成都酷岸文化传播有限公司,成都-锦江区,6-8千/月,07-23,1年经验,大专,后期制作;视频剪辑;创意策划,招1人
项目助理,天狐创意设计股份有限公司,上海,4.5-6千/月,07-23,2年经验,大专,销售行政助理;经理助理/秘书;助理;经理助理;销售助理;业务跟单;项目助理,招1人
诚聘销售4500起（五险一金）,南京天和商道企业管理有限公司,南京-玄武区,1-1.5万/月,07-23,无工作经验,大专,电话销售;销售代表;电话销售;面销,招5人
验光师,托费斯（广东）科技有限公司,广州-天河区,4-8千/月,07-23,2年经验,中专,验光师;其他;验光;配镜;筛查;屈光检测;矫正;服务;销售;视光,招6人
礼宾司,长城物业集团股份有限公司上海分公司,上海-青浦区,6.5-7万/年,07-23,3-4年经验,大专,礼仪/迎宾;酒店前台;礼宾;礼宾司,招2人
OEM销售经理,佛山市万盈化妆品有限公司,广州-越秀区,0.8-1万/月,07-23,5-7年经验,大专,产品/品牌经理;销售经理;渠道销售,招1人
高级需求分析师,西安远古信息科技股份有限公司,西安,0.8-1.5万/月,07-23,8-9年经验,本科,需求工程师,招1人
外观产品设计师,上海傲旗工业设计有限公司,上海-浦东新区,5-8千/月,07-23,1年经验,大专,工业/产品设计;玩具设计;外观设计师,招2人
销售代表（高薪+双休）,深圳中一专利商标事务所,深圳,0.8-1万/月,07-23,无工作经验,本科,销售代表;客户代表;电话销售;渠道销售;大客户销售,招若干人
销售/业务 无责底薪+年底双薪,深圳市伊奇信电子科技有限公司,武汉,6-8千/月,07-23,无工作经验,大专,销售代表;电话销售;外贸销售;外贸业务;外贸专员;销售;销售专员;销售代表;销售顾问;业务员;电话销售;直销销售,招2人
高薪诚聘+幼儿班主任（此岗为代招）,成都康利达科技有限公司,成都-武侯区,3-8千/月,07-23,5-7年经验,大专,幼教;院校教务管理人员;幼儿园园长;园区管理;学前教育,招若干人
检货员,苏州泰圣原贸易有限公司,苏州-姑苏区,4.5-5千/月,07-23,无工作经验,高中,审核员,招若干人
B2司机,北京隆兴虹承环保工程有限公司,北京-朝阳区,4.5-6千/月,07-23,3-4年经验,招2人,货运司机;特种车司机;B2司机,07-23发布
外贸经理助理,深圳易龙三维科技开发有限公司,深圳,3.5-8千/月,07-23,1年经验,大专,其他,招1人
近距离接触一线明星 别墅销售 无责底薪7500元+,上海丽兹行-SH10,上海-黄浦区,0.7-1.5万/月,07-23,无工作经验,本科,销售代表;培训/课程顾问;销售;经纪人;汽车销售;金融;大客户销售;医药代表;房产销售;互联网;课程顾问,招20人
招标代理项目助理,贵州聚力项目管理咨询有限公司,贵阳,3-4.5千/月,07-23,无工作经验,招2人,专业顾问;应届生;毕业生;校园招聘,07-23发布
金融实习生（交易员/操盘手）,重庆烁达科技有限公司,重庆-渝中区,6-8千/月,07-23,1年经验,大专,股票/期货操盘手;风险管理/控制;黄金外汇交易,招6人
买手经理,东莞市以纯集团有限公司,东莞-虎门镇,0.8-1万/月,07-23,3-4年经验,大专,面料辅料采购;买手;服装设计;辅料;市场调研,招3人
建筑设计师,泸州市金信实业集团有限责任公司,泸州,6-8千/月,07-23,2年经验,大专,房地产项目/策划经理,招2人
前台客服,广州云脉医疗科技有限公司,广州-白云区,3.5-4.5千/月,07-23,无工作经验,中专,前台接待/总机/接待生;接待、前台,招3人
销售专员（提供精准资源）,广州市宝米家政服务有限公司,广州-天河区,0.8-1.5万/月,07-23,2年经验,中专,销售代表;电话销售;电话销售;网络销售;客服;顾问;咨询;课程;招生;家政;月嫂;育婴,招5人
文案,广东民信资产管理有限公司,东莞-莞城区,6-8千/月,07-23,1年经验,招1人,文案/策划;编辑,07-23发布
店长,广州佰乐厨神餐饮有限公司,广州-越秀区,1-1.5万/月,07-23,2年经验,高中,店长/经理;大堂经理;餐厅经理;店长;运营管理,招1人
包住综合1W招备用金销售,深圳思倍思文化有限公司,深圳-南山区,0.8-1万/月,07-23,无工作经验,高中,电话销售;呼叫中心客服;电话销售;电销;电话客服;客服文员;客服助理;客户经理;客服代表;销售代表,招若干人
诚聘 资管 交易员（高薪+五险）,成都市锦城天汇信息技术有限公司,成都-高新区,0.8-1万/月,07-23,无工作经验,中专,股票/期货操盘手;投资/理财顾问;交易、技术,招5人
仓库管理员（浦东机场保税区）,上海展通国际物流有限公司,上海-浦东新区,3-4.5千/月,07-23,无工作经验,高中,仓库管理员;年终双薪;加班补助;交通补助;立即上岗;定期体检;员工旅游,招2人
产品建模/渲染出图（电商）,中山市邦正五金制品有限公司,中山,0.6-1万/月,07-23,1年经验,中专,家具/家居用品设计;动画/3D设计;3D建模;渲染出图;产品设计,招2人
销售代表 双休 应届生优先,上海特易信息科技有限公司青岛分公司,青岛-市南区,3-6千/月,07-23,无工作经验,大专,销售代表;电话销售;客户代表;销售顾问;电话销售;外贸,招2人
销售经理,洛森自动化科技（合肥）有限公司,合肥-经开区,0.8-1万/月,07-23,1年经验,大专,销售工程师;销售,招5人
仓库文员,御医堂健康管理咨询（广州）有限公司,广州-天河区,4-5千/月,07-23,无工作经验,招3人,仓库管理员;仓库文员;打单文员,07-23发布
网络推广专员,深圳市睿恪斯科技有限公司,深圳-光明新区,6-8千/月,07-23,2年经验,大专,网络推广专员;网络推广,招1人
网管,深圳市宝力科技有限公司,深圳,4.5-6千/月,07-23,无工作经验,招若干人,系统管理员/网络管理员;网管;erp,07-23发布
客服文员,广东信丰物流有限公司,东莞,3-4千/月,07-23,无工作经验,高中,客服专员/助理,招3人
幼儿教师,天津市西青区中北镇金娃娃幼儿园,天津-西青区,3-5千/月,07-23,无工作经验,大专,幼教;育婴师/保育员;幼儿教师;周末双休;奖金丰厚;全勤奖;包吃包住;立即上岗,招若干人
BD,旅悦集团,潍坊,0.8-1.3万/月,07-23,1年经验,大专,其他,招若干人
法务实习生（2020届）,中智天津人力资源服务有限公司,天津-和平区,2-3千/月,07-23,无工作经验,招1人,法务助理;实习生;法律;法务;合同管理;法学;风险防控;综合工时;法律咨询;法务实习生;法律顾问,07-23发布
生产储备人员&操作工,苏州昶兴科技有限公司,苏州-高新区,3.5-6千/月,07-23,无工作经验,初中及以下,学徒工;其他;精冲、模具,招4人
测试工程师,深圳市文鼎创数据科技有限公司,深圳-南山区,0.8-1.2万/月,07-23,2年经验,本科,软件测试;硬件测试;测试;应用测试;系统测试,招若干人
大型影楼网络门市（保底4千，8千-1万2）,南京米兰尊荣婚纱摄影有限公司,南京,0.8-1.2万/月,07-23,无工作经验,招5人,销售代表;销售行政专员;渠道销售;电话销售,07-23发布
运营经理,河南正旭通信工程有限公司,郑州-郑东新区,0.8-1万/月,07-23,5-7年经验,大专,网站运营总监,招2人
会计实习生,广州市专注企业管理信息咨询有限公司,广州-天河区,2-3千/月,07-23,无工作经验,中专,会计;会计实习生,招1人
财务总账主管,徐州市新盛投资控股集团有限公司,徐州,10-15万/年,07-23,无工作经验,招2人,财务主管/总账主管,07-23发布
行政主管,上海慕丰实业有限公司,上海-长宁区,0.8-1.1万/月,07-23,无工作经验,招1人,行政经理/主管/办公室主任;行政主管;行政经理,07-23发布
图像算法工程师,上海御微半导体技术有限公司,上海-浦东新区,2-3.5万/月,07-23,1年经验,硕士,图像算法工程师;图像算法;机器视觉,招2人
医学检验人员,国药集团基因科技有限公司,常州,4-8千/月,07-23,无工作经验,招1人,医药学检验,07-23发布
财务人员,深圳市科信工程技术有限公司,深圳,6-8千/月,07-23,2年经验,大专,财务助理/文员;会计;财务;会计;周末双休;带薪年假;五险一金;奖金丰厚;节日福利,招1人
商业地产销售专员,成都博谊恒业房地产经纪有限公司,成都-青羊区,0.8-1万/月,07-23,无工作经验,大专,房地产中介/置业顾问;商铺招租;商场招商,招10人
后湖高薪聘请销售经理 年薪10W+,武汉采帮电子商务有限公司,武汉-江岸区,10-15万/年,07-23,1年经验,大专,销售代表;大客户销售;销售;销售代表;大客户经理;市场专员;客户代表,招若干人
销售助理,深圳市骏飞实业有限公司,深圳-龙岗区,4-6千/月,07-23,2年经验,大专,销售助理;助理;销售,招2人
出纳兼行政,湖北航嘉麦格纳座椅系统有限公司,柳州,3-4.5千/月,07-23,1年经验,大专,出纳员;税务专员/助理;出纳;税务;人事,招1人
HR Intern,深圳香港马会技术开发有限公司,深圳-南山区,4.5-6千/月,07-23,无工作经验,本科,人事助理;人力资源信息系统专员,招若干人
Web前端开发工程师,武汉博简科技有限公司,武汉,0.8-1.4万/月,07-23,3-4年经验,大专,Web前端开发;软件工程师;Web前端开发;高级前端开发,招3人
销品茂aojo眼镜店导购,湖南光合作用商贸有限公司深圳分公司,武汉-洪山区,4.2-6.5千/月,07-23,无工作经验,高中,导购员;店员/营业员;店员;营业员;导购;陈列;销售,招若干人
外贸助理,徐州奇思客网络科技有限公司,徐州,3.2-4.5千/月,07-23,无工作经验,大专,英语翻译;贸易/外贸专员/助理;英语;运营;外贸,招1人
精装/装修工程师/主管/专业经理,新城控股射阳项目公司,盐城,0.8-1万/月,07-23,3-4年经验,本科,房产项目配套工程师,招2人
会计,广州盈通物流供应链有限公司,广州-南沙区,5-8千/月,07-23,5-7年经验,大专,会计;财务经理;会计;财务;银行;退税,招1人
海运操作（欢迎应届生）,广州市海龙国际货运代理有限公司,广州,5-8千/月,07-23,无工作经验,大专,船务/空运陆运操作;货运代理;海运操作;出口操作;贸易跟单;海运跟单;外贸专员;单证员,招2人
产品结构工程师,华维节水科技集团股份有限公司,上海-金山区,0.8-1.5万/月,07-23,5-7年经验,大专,结构工程师;UG;Pro/e;AutocAD,招1人
分销销售代表,品渥食品股份有限公司,中山,5-8千/月,07-23,1年经验,大专,渠道/分销专员;销售代表;分销专员;销售代表;分销客户;经销商;开拓,招1人
学校运营经理,上海明势体育发展有限公司,上海-徐汇区,0.8-1万/月,07-23,1年经验,大专,大客户销售,招1人
网络管理员,广东健泽医药有限公司,广州-天河区,3-4.5千/月,07-23,无工作经验,大专,网络管理(Helpdesk);网络维修;网络管理;信息管理;计算机;网管,招1人
培训专员,湖南保利物业管理有限公司,长沙-天心区,3.3-4千/月,07-23,1年经验,本科,培训专员/助理/培训师,招1人
CE彩妆师-北京,欧莱雅（中国）有限公司,北京,,07-23,无工作经验,招若干人,彩妆培训师,07-23发布
上海世博源店-AS店员,亚瑟士（中国）商贸有限公司,上海-浦东新区,4-6千/月,07-23,无工作经验,高中,促销员/导购;导购员,招1人
培训总监助理,“前程无忧”51job.com（上海）,,,07-23,,,,
Junior GL/TAX accountant,卡尔蔡司（上海）管理有限公司,,,07-23,,,,
合约主管/高级主管（央企）,中建国际投资（中国）有限公司,湖州,0.7-1.3万/月,07-23,3-4年经验,本科,预结算员;合约主管;结算;造价员,招2人
ISO50001能源管理体系审核员（可base在全国）,DEKRA Group(Mainland China)德凯中国,上海,,07-23,3-4年经验,本科,审核员;体系工程师;ISO50001;能源,招若干人
互动娱乐事业部-互动体验设计策划-北京/广州,阿里巴巴集团,北京,,07-23,2年经验,本科,其他,招2人
车队经理/运输经理,京东商城华南区域分公司,深圳-龙华新区,1.2-1.8万/月,07-23,3-4年经验,大专,运输经理/主管;运输经理;车队经理,招1人
Java搜索开发工程师(J18610),携程旅行网深圳分公司,深圳-南山区,1.5-2.5万/月,07-23,无工作经验,招1人,高级软件工程师,07-23发布
财务经理(J18609),携程旅行网成都分公司,重庆-江北区,1-1.5万/月,07-23,5-7年经验,本科,财务经理,招1人
VP Applied Analytics(FCTM),汇丰环球客户服务(广东)有限公司,广州-天河区,3-6万/月,07-23,10年以上经验,本科,数据库工程师/管理员,招16人
Finance Business Partner,默沙东（中国）投资有限公司,,3-4万/月,07-23,,,,
报告专员(轻工产品部)-上海闵行-04839,TUV SUD Greater China Central Region/TUV 南德意志大中华集团中区,,,07-23,,,,
Sourcing Associate（日语采购）,杜邦中国集团有限公司上海分公司,苏州,1-1.5万/月,07-23,1年经验,本科,其他,招若干人
