,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
8443,办公室文员,广州思为时尚科技有限公司,广州-番禺区,3.5-5千/月,07-23,无工作经验,大专,其他;助理;文员,招1人
8444,销售工程师,昆山安胜达微波科技有限公司,绵阳,6-9千/月,07-23,2年经验,本科,销售工程师;销售;业务;营业;sale;成都;电缆;通信;电子;微波,招1人
8445,资深弱电设计师 智能化设计师,上海互诺信息技术有限公司,上海-浦东新区,0.8-1.2万/月,07-23,5-7年经验,本科,智能大厦/综合布线/安防/弱电;楼宇自动化;弱电;智能化;数据中心;机房;工程;设计;技术;项目经理;即时上岗,招2人
8446,销售工程师/销售代表/业务员,深圳市天传奇电子科技有限公司,深圳-龙华新区,0.5-1.5万/月,07-23,1年经验,大专,销售代表;销售工程师;振镜;3D打印机,招3人
8447,销售经理,上海悦欣天厨食品有限公司,上海-闵行区,0.8-1万/月,07-23,无工作经验,,销售经理;大客户销售;渠道销售;直销销售,招2人
8448,设计部 工程师,北京华源泰盟节能设备有限公司,北京-海淀区,0.6-1万/月,07-23,无工作经验,硕士,空调/热能工程师,招2人
8449,在线客服专员 底薪5K起+绩效奖金,上海默群文化传播有限公司,上海-杨浦区,6-8千/月,07-23,无工作经验,大专,网络/在线客服;客服专员/助理;客服专员;在线客服;客服代表,招2人
8450,全职会计,广州楚粤信息咨询有限公司,广州-花都区,3-4.5千/月,07-23,无工作经验,,财务总监;会计;会计;总务;办公室主任,招5人
8451,AP会计,北京外企德科人力资源服务上海有限公司,上海-浦东新区,6-7千/月,07-23,2年经验,本科,会计;世界500强;英文环境,招1人
8452,销售代表,深圳市国瓷永丰源瓷业有限公司,深圳-龙华新区,4-8千/月,07-23,1年经验,,销售代表;渠道销售,招若干人
8453,运营经理/主管（济南）,拉加代尔旅行零售（上海）有限公司,济南-历城区,6-8千/月,07-23,3-4年经验,大专,营运主管,招1人
8454,房屋租售负责人,金地物业管理集团上海物业公司,上海-嘉定区,0.8-1万/月,07-23,3-4年经验,大专,房地产店长/经理,招1人
8455,测试工程师（性能测试）,恒赢智航科技有限公司,上海-闵行区,0.8-1万/月,07-23,无工作经验,,软件工程师;性能测试;loadrunner,招1人
8456,商务督导,安徽天天爱车网络科技有限公司,合肥-瑶海区,4-8千/月,07-23,1年经验,,商务主管/专员,招5人
8457,海空运业务员（实习生）,世邦集运（厦门）有限公司深圳分公司,深圳-罗湖区,3-4.5千/月,07-23,无工作经验,大专,货运代理;销售代表;业务员;货运代理;海运业务;空运业务;实习生;市场开发,招8人
8458,新媒体/自媒体交易/网络销售,北京鱼爪网络科技有限公司成都分公司,成都-青羊区,0.8-1万/月,07-23,无工作经验,,销售代表;网络/在线销售;渠道销售;直销销售;电话销售;销售代表;面销;网络销售;新媒体,招15人
8459,档案整理（北二环）,西安新望信息科技有限公司,西安-未央区,2-5千/月,07-23,无工作经验,,图书管理员/资料管理员;电脑操作员/打字员,招3人
8460,会计兼出纳,上海衡南智能科技有限公司,上海-浦东新区,6-8千/月,07-23,1年经验,大专,会计;出纳员,招1人
8461,货代操作,广东俄速易供应链管理有限公司,广州-白云区,6-8千/月,07-23,1年经验,大专,船务/空运陆运操作;业务跟单;海运扣作;货代操作;代货跟单;空运操作;货代;货代操作;操作员,招1人
8462,人事行政专员底薪3000+绩效奖+包食宿,郑州市勤之优环保科技有限公司,郑州-金水区,3-5千/月,07-23,无工作经验,,人事专员;前台接待/总机/接待生;人事,招2人
8463,高薪诚聘国际物流业务员（龙华水斗）,深圳市宝通达国际货运代理有限公司,深圳-龙华新区,0.8-1.5万/月,07-23,1年经验,中专,网络/在线销售;销售代表;业务员;销售;物流业务员;国际物流;物流业务员;应届生;网络销售;电话销售,招5人
8464,法语亚马逊运营助理 跨境电商,北京新旸大业信息技术有限公司,北京-昌平区,5-7千/月,07-23,无工作经验,本科,法语翻译;电子商务专员;法语;amazon;亚马逊运营;亚马逊法国站;跨境电商;ebay;cdiscount,招1人
8465,零售督导（飞利浦-天津）,上海申馨人力资源外包服务有限公司,天津,6-8千/月,07-23,无工作经验,,渠道/分销主管,招若干人
8466,技术打样,湖州鸿家雅篱休闲用品有限公司,湖州,4-9.9千/月,07-23,1年经验,,技工,招若干人
8467,人事助理,廊坊市睿居家居装饰有限公司,廊坊,3-4.5千/月,07-23,1年经验,中专,人事助理,招7人
8468,区域营销专员,保集控股集团有限公司,上海-宝山区,10-15万/年,07-23,无工作经验,,销售行政助理,招1人
8469,200元/天直聘普工包吃住坐班,广州昌兴人力资源有限公司,珠海-斗门区,4.5-6千/月,07-23,无工作经验,,普工/操作工;学徒工;普工;长期工;正式工;临时工;小时工;包吃住;长白班;学徒工;包装工;实习生,招600人
8470,客服经理,广州永晟五金材料有限公司,广州-越秀区,0.6-1.2万/月,07-23,无工作经验,,客服经理,招1人
8471,彩妆师督导,南昌金茉莉贸易有限公司,南昌-西湖区,4-8千/月,07-23,1年经验,中专,销售主管;促销主管/督导;彩妆师;化妆师;销售,招3人
8472,客服专员,苏州傲马网络科技有限公司,苏州-姑苏区,6-8千/月,07-23,无工作经验,,客服专员/助理;电话销售;电话销售;话务员;客服,招5人
8473,人事专员,深圳市道本君逸贸易有限公司,深圳-龙岗区,5-8千/月,07-23,2年经验,大专,人事专员;招聘专员/助理,招1人
8474,絮凝剂/污水处理/环保/化工销售,上海沃杉化工有限公司,苏州,4-8千/月,07-23,2年经验,大专,销售代表;销售工程师,招1人
8475,市场部实习生,江苏中信博新能源科技股份有限公司上海分公司,上海-长宁区,1.5-3千/月,07-23,无工作经验,本科,实习生;兼职;市场助理;实习生,招1人
8476,市场拓展/销售代表,成都分想建筑装饰设计有限公司,成都-高新区,6-8千/月,07-23,3-4年经验,大专,市场/营销/拓展专员;地产销售;市场营销;市场拓展;销售代表,招4人
8477,美甲培训老师,苏州科颜丽科技美容有限公司,苏州-工业园区,4-8千/月,07-23,2年经验,中专,美甲师;美甲师;美甲培训,招2人
8478,房产经纪人 5000无责底薪 房补,北京链家房地产经纪有限公司-BJ054,北京,6-8千/月,07-23,1年经验,本科,房地产中介/置业顾问;链家,招3人
8479,数据分析员,东莞市魏氏服饰有限公司,东莞-洪梅镇,4.5-6千/月,07-23,2年经验,高中,销售行政助理;商务助理,招1人
8480,市场渠道推广经理,武汉青橙互娱网络科技有限公司,武汉-江夏区,0.8-1.6万/月,07-23,无工作经验,,渠道/分销专员;销售代表;市场;渠道;销售;推广,招10人
8481,农业技术员,云南爱必达园艺科技有限公司,楚雄,4.5-6千/月,07-23,无工作经验,大专,农艺师;农业技术员,招5人
8482,菱角湖万达商务专员+社保+单双休,上海帝森建筑装饰工程有限公司武汉分公司,武汉,3-8千/月,07-23,1年经验,中专,销售代表;商务主管/专员;商务专员,招5人
8483,舞台技术员（实习生）,上海国际舞蹈中心剧场经营管理有限公司,上海-长宁区,100元/天,07-23,无工作经验,中专,灯光师;音效师,招2人
8484,财务总监,四川东成建设有限公司,凉山,1-1.5万/月,07-23,5-7年经验,本科,财务总监,招1人
8485,急招汉阳行政人事+底薪4500起+招聘奖,深圳市乐有家控股集团有限公司,武汉-汉阳区,4.5-8千/月,07-23,1年经验,大专,招聘专员/助理;行政经理/主管/办公室主任;行政;人事;招聘专员,招2人
8486,销售代表4K-8k+免费住宿,河南就好医用电子科技股份有限公司,郑州-二七区,6-8千/月,07-23,1年经验,大专,医疗器械市场推广;销售代表;医疗器械;销售;保健品;销售代表;客户经理;健康,招6人
8487,课程销售顾问,雅马哈音乐中心,沈阳,0.5-1万/月,07-23,无工作经验,大专,培训/课程顾问;销售代表;课程顾问;销售;电话销售;渠道销售;直销销售,招若干人
8488,结构工程师,腾冲景业房地产开发有限公司,保山,3-4.5千/月,07-23,无工作经验,,结构工程师,招若干人
8489,业务拓展经理（BD）,杭州弗兰科信息安全科技有限公司,杭州-余杭区,0.8-1.5万/月,07-23,2年经验,大专,业务拓展主管/经理;业务;商务;拓展;合作,招2人
8490,大客户代表,苏州汇诚联合知识产权代理有限公司,无锡-无锡新区,0.8-1万/月,07-23,1年经验,大专,大客户销售;客户销售;拜访,招3人
8491,策划运营,广州市白云区人和荻薇日用化妆品厂,广州-白云区,1.5-2万/月,07-23,5-7年经验,大专,市场/营销/拓展经理;市场通路经理/主管;策划运营,招1人
8492,仓库管理员,上海康宁医疗用品有限公司,上海-松江区,4.5-6千/月,07-23,1年经验,初中及以下,仓库管理员,招若干人
8493,成长中心专员,深圳友朋智能商业科技有限公司,深圳-南山区,0.5-1万/月,07-23,1年经验,大专,电子商务专员,招2人
8494,幕墙设计师,河南中莘建设工程有限公司,杭州-滨江区,0.8-1万/月,07-23,5-7年经验,大专,其他,招1人
8495,生产旺季8千+入职奖3千,广东君晨网络科技有限公司,深圳-龙岗区,5-7千/月,07-23,无工作经验,初中及以下,普工/操作工;技工;普工;操作工;技术工;学徒工;长白班;坐班;包吃住;组装工;包装工;分拣员,招100人
8496,店长,德善（香港）资本控股有限公司,广州,5-9千/月,07-23,3-4年经验,高中,店长/经理;餐厅领班,招3人
8497,网络推广专员,南岸区童话艺术培训中心,重庆-渝北区,4.5-6千/月,07-23,1年经验,大专,其他;网络推广专员,招2人
8498,房产经纪人,福建骊特房地产综合服务有限公司,福州,0.8-1万/月,07-23,无工作经验,,客户经理/主管,招若干人
8499,主办会计,昆山昌懋聚胺脂橡胶制品有限公司,昆山,4.5-6千/月,07-23,3-4年经验,大专,会计,招1人
8500,教学管理/教务管理,新疆银河伟业信息产业有限公司,天津-河西区,4.5-6千/月,07-23,3-4年经验,大专,院校教务管理人员;培训督导;教务管理;教学管理;培训管理;课程管理;教学督导,招2人
8501,培训师,菁眸生物科技（上海）有限公司,上海-浦东新区,0.6-1.2万/月,07-23,5-7年经验,大专,医疗器械市场推广;眼科;眼视光;培训,招2人
8502,技术工程师,广州恩维汽车配件有限公司,广州,6-8千/月,07-23,2年经验,大专,机械工程师;技术研发工程师;技术;设计工程;机械设计;工装设计;汽车配件设计,招1人
8503,全自动机台操作员,武汉凯威啤酒屋股份有限公司,武汉-江夏区,5-7千/月,07-23,1年经验,,工程/设备主管,招100人
8504,车源专员,武汉车选选汽车服务有限公司,武汉-硚口区,4.5-6千/月,07-23,无工作经验,初中及以下,市场助理;市场,招5人
8505,小学语文老师（包餐供住宿）,武汉金贝思教育投资有限公司,武汉-洪山区,4.5-8千/月,07-23,1年经验,大专,小学教师;小学语文老师;语文老师;语文教学;作文辅导;阅读,招15人
8506,水电维修工,上海德速汽车技术服务有限公司,上海-闵行区,4.5-6千/月,07-23,3-4年经验,中技,其他;日常水电维修,招若干人
8507,楼管（江苏省昆山市）,崇邦新基（上海）企业管理咨询有限公司,昆山,0.8-1万/月,07-23,8-9年经验,大专,卖场经理/店长;督导/巡店;昆城;港资;外资;百货;楼层管理;主管;定期体检;员工旅游;补充医疗保险;年终奖金,招1人
8508,大客户总监,佛山市腾辉家居实业有限公司,佛山-南海区,25-40万/年,07-23,5-7年经验,大专,项目经理/主管,招1人
8509,办公室文员,深圳市睿智威显示技术有限公司,深圳-光明新区,3-4.5千/月,07-23,无工作经验,高中,生产文员;研发文员;工程文员,招2人
8510,销售区域主任,福建省泡吧食品有限公司,宁波-海曙区,15-20万/年,07-23,无工作经验,大专,大客户销售;渠道销售;销售业务,招2人
8511,网红娱乐直播绿色平台,深圳市乐园星颜文化传播有限公司,深圳-龙岗区,6-8千/月,07-23,无工作经验,,主播/主持人;化妆师;化妆师;网红;主播;***;歌手;模特,招20人
8512,淘宝客服,上海乐巢家居用品有限公司,上海-松江区,6-8千/月,07-23,2年经验,中专,网店/淘宝客服;网络/在线客服;淘宝客服;电商客服;天猫客服;网络客服;客服专员;做五休二;松江,招2人
8513,总经理助理,广州市盘古装饰设计有限公司,广州-海珠区,0.8-1.8万/月,07-23,无工作经验,本科,总裁助理/总经理助理;总经理助理,招2人
8514,lazada运营/创业街,合肥市合趣网络科技有限公司,武汉-洪山区,4.5-8千/月,07-23,无工作经验,,贸易/外贸专员/助理,招6人
8515,合伙人,亲立方国际儿童教育中心,广州-白云区,6-8千/月,07-23,3-4年经验,大专,市场/营销/拓展主管,招1人
8516,后期剪辑/短视频制作,武汉宝铂聚源文化传媒有限公司,武汉-洪山区,4.5-6千/月,07-23,1年经验,大专,后期制作,招1人
8517,淘宝美工,烟台哈福玩具有限公司,烟台,3.5-4千/月,07-23,1年经验,本科,网店美工;网页设计/制作/美工;网店美工;网页设计;美工,招2人
8518,管理实习生/培训生/应届毕业生+住宿+晋升,贵州天赐隆成商贸有限公司,贵阳,4.5-8.2千/月,07-23,无工作经验,大专,培训生;实习生;实习生;培训生;储备干部,招4人
8519,药物合成研究员,江苏吴中医药集团有限公司,南京,8-12万/年,07-23,无工作经验,,医药技术研发人员,招3人
8520,商务司机,中科华宝股份有限公司,长沙-岳麓区,3-4.5千/月,07-23,3-4年经验,大专,商务助理;商务司机;司机,招1人
8521,生产跟单员,深圳市台茗服装有限公司,深圳-龙华新区,6-8千/月,07-23,2年经验,中专,质量管理/验货员(QA/QC);生产主管;生产跟单;QC;QA;生产文员;生产主管,招1人
8522,软件测试工程师（外派泰隆银行）,浙江网新恒天软件有限公司,杭州-西湖区,0.8-1.4万/月,07-23,2年经验,本科,其他,招若干人
8523,英语教育顾问,剑桥美国高中联盟,成都,4-8千/月,07-23,1年经验,本科,专业顾问;客服专员/助理;英语顾问;非销售;后端支持;五险一金,招1人
